symbol,entry_time,exit_time,entry_price,exit_price,qty,side,pnl,parts
FILUSDT,2025-12-09 16:00:00,2025-12-09 20:00:00,1.557,0.9635,390.5570617422886,short,231.49457476085732,1
FILUSDT,2025-12-10 04:00:00,2025-12-10 08:00:00,1.497,0.9635,315.4923222701952,short,168.0719724491433,1
FILUSDT,2025-12-28 00:00:00,2025-12-28 04:00:00,1.3218,0.9635,468.6051886730184,short,167.54003822211337,1
FILUSDT,2026-02-18 20:00:00,2026-02-19 00:00:00,0.927,0.9635,907.4788839536416,long,32.423494540556426,1
FILUSDT,2026-04-06 12:00:00,2026-04-06 16:00:00,0.8867,0.9635,843.9483347276724,short,-65.46574748349332,1
FILUSDT,2026-04-11 20:00:00,2026-04-12 00:00:00,0.9001,0.9635,1272.0264277449237,short,-81.62695348953396,1
FILUSDT,2026-04-12 00:00:00,2026-04-12 04:00:00,0.8649,0.9635,1225.580415330857,short,-121.78690633575955,1
FILUSDT,2026-04-12 04:00:00,2026-04-12 08:00:00,0.8646,0.9635,910.335079863955,long,89.330453118986,1
FILUSDT,2026-04-22 00:00:00,2026-04-22 04:00:00,0.9418,0.9635,1028.6006445829819,long,21.5277886106062,1
FILUSDT,2026-04-27 08:00:00,2026-04-27 12:00:00,0.9243,0.9635,1481.5896123269526,long,56.93630353003495,1
FILUSDT,2026-04-28 00:00:00,2026-04-28 04:00:00,0.9193,0.9635,1136.1130963424646,long,49.34048288367618,1
FILUSDT,2026-05-03 04:00:00,2026-05-03 08:00:00,0.919,0.9635,1429.8598775743667,long,62.526628558424974,1
