symbol,entry_time,exit_time,entry_price,exit_price,qty,side,pnl,parts
AVAXUSDT,2025-11-29 20:00:00,2025-11-30 00:00:00,14.239,9.288,28.843417501295594,long,-143.01807817831613,1
AVAXUSDT,2025-11-30 00:00:00,2025-11-30 04:00:00,14.202,9.288,24.432642324895752,long,-120.24354869006862,1
AVAXUSDT,2025-12-09 16:00:00,2025-12-09 20:00:00,14.617,9.288,20.021313467737766,short,106.54481310198389,1
AVAXUSDT,2025-12-15 16:00:00,2025-12-15 20:00:00,12.384,9.288,21.167522804112238,long,-65.69193376297517,1
AVAXUSDT,2025-12-22 12:00:00,2025-12-22 16:00:00,12.363,9.288,33.4734873323864,short,102.68225214681358,1
AVAXUSDT,2025-12-22 20:00:00,2025-12-23 00:00:00,12.409,9.288,37.09584449974697,short,115.50049372073939,1
AVAXUSDT,2025-12-23 00:00:00,2025-12-23 04:00:00,12.399,9.288,42.955909769483796,long,-133.95501488481523,1
AVAXUSDT,2025-12-23 08:00:00,2025-12-23 12:00:00,12.285,9.288,36.85103768032968,short,110.16874197756813,1
AVAXUSDT,2025-12-23 16:00:00,2025-12-23 20:00:00,12.107,9.288,41.3250435666178,long,-116.80235941801294,1
AVAXUSDT,2025-12-24 12:00:00,2025-12-24 16:00:00,12.002,9.288,40.21228001900763,long,-109.43492129703995,1
AVAXUSDT,2025-12-25 16:00:00,2025-12-25 20:00:00,12.466,9.288,34.47018687311383,short,109.29012660621373,1
AVAXUSDT,2025-12-26 00:00:00,2025-12-26 04:00:00,12.528,9.288,64.83784664399633,short,209.59285199084457,1
AVAXUSDT,2025-12-26 04:00:00,2025-12-26 08:00:00,12.405,9.288,80.03893127579708,short,248.88662751170773,1
AVAXUSDT,2025-12-26 08:00:00,2025-12-26 12:00:00,12.452,9.288,97.41157646641341,short,307.4864209619559,1
AVAXUSDT,2025-12-26 16:00:00,2025-12-26 20:00:00,12.37,9.288,119.24621389168585,short,366.6307841464749,1
AVAXUSDT,2025-12-27 16:00:00,2025-12-27 20:00:00,12.527,9.288,148.23473641525928,short,479.0308678635647,1
AVAXUSDT,2025-12-28 00:00:00,2025-12-28 04:00:00,12.776,9.288,149.71021192566621,short,521.0768124380312,1
AVAXUSDT,2025-12-29 04:00:00,2025-12-29 08:00:00,13.005,9.288,138.6163495944764,short,514.2069965186421,1
AVAXUSDT,2025-12-29 12:00:00,2025-12-29 16:00:00,12.69,9.288,152.41229920128492,short,517.3741575347859,1
AVAXUSDT,2026-01-01 20:00:00,2026-01-02 00:00:00,13.58,9.288,166.28577314240755,short,712.4629685184559,1
AVAXUSDT,2026-01-06 12:00:00,2026-01-06 16:00:00,14.526,9.288,110.90645551910873,short,580.1039346820023,1
AVAXUSDT,2026-01-07 16:00:00,2026-01-07 20:00:00,14.106,9.288,120.908257556883,long,-583.4343816260129,1
AVAXUSDT,2026-01-11 00:00:00,2026-01-11 04:00:00,13.715,9.288,226.24307723596402,long,-1003.2591794847067,1
AVAXUSDT,2026-01-11 08:00:00,2026-01-11 12:00:00,13.805,9.288,178.16168861205801,long,-806.0801600717291,1
AVAXUSDT,2026-01-12 08:00:00,2026-01-12 12:00:00,13.639,9.288,129.4347007955557,short,562.2086315606714,1
AVAXUSDT,2026-01-13 00:00:00,2026-01-13 04:00:00,13.573,9.288,142.31988372769442,long,-610.8981954372209,1
AVAXUSDT,2026-01-13 16:00:00,2026-01-13 20:00:00,14.514,9.288,139.90015623796722,short,730.078702378706,1
AVAXUSDT,2026-01-13 20:00:00,2026-01-14 00:00:00,14.748,9.288,171.31574865302323,short,934.1110431067153,1
AVAXUSDT,2026-01-19 00:00:00,2026-01-19 04:00:00,12.704,9.288,138.9619568327803,long,-475.7265874648278,1
AVAXUSDT,2026-01-25 16:00:00,2026-01-25 20:00:00,11.3,9.288,217.4072524944709,long,-439.03881486781046,1
AVAXUSDT,2026-01-25 20:00:00,2026-01-26 00:00:00,11.487,9.288,130.91637728224896,long,-288.85787469342347,1
AVAXUSDT,2026-01-28 00:00:00,2026-01-28 04:00:00,12.055,9.288,134.55174041592545,short,371.30489247887914,1
AVAXUSDT,2026-01-28 12:00:00,2026-01-28 16:00:00,12.002,9.288,151.54853368339633,short,410.1766541920566,1
AVAXUSDT,2026-01-28 16:00:00,2026-01-28 20:00:00,12.052,9.288,176.27329981664354,short,485.90961956624506,1
AVAXUSDT,2026-02-04 16:00:00,2026-02-04 20:00:00,9.93,9.288,91.42738719936874,long,-59.375724639840875,1
AVAXUSDT,2026-02-09 16:00:00,2026-02-09 20:00:00,9.113,9.288,95.5954068436862,long,16.01888408663383,1
AVAXUSDT,2026-02-18 20:00:00,2026-02-19 00:00:00,8.852,9.288,242.67588222644355,long,104.003505775434,1
AVAXUSDT,2026-02-19 12:00:00,2026-02-19 16:00:00,8.814,9.288,261.8928584054699,long,122.19124618909679,1
AVAXUSDT,2026-02-20 08:00:00,2026-02-20 12:00:00,9.109,9.288,265.9154719409683,short,-49.57472780014357,1
AVAXUSDT,2026-02-21 12:00:00,2026-02-21 16:00:00,9.278,9.288,260.52840829016446,short,-4.5411143678608274,1
AVAXUSDT,2026-02-22 16:00:00,2026-02-22 20:00:00,8.811,9.288,360.8781419268276,long,169.45740475332377,1
AVAXUSDT,2026-02-22 20:00:00,2026-02-23 00:00:00,8.871,9.288,368.44305607365925,long,150.9030750988661,1
AVAXUSDT,2026-02-23 00:00:00,2026-02-23 04:00:00,8.413,9.288,403.2009031287968,long,349.804846247089,1
AVAXUSDT,2026-03-04 16:00:00,2026-03-04 20:00:00,9.664,9.288,250.8438049015585,short,92.45340083504531,1
