symbol,entry_time,exit_time,entry_price,exit_price,qty,side,pnl,parts
DOGEUSDT,2025-11-23 16:00:00,2025-11-23 20:00:00,0.14647,0.11032,6485.969823171981,short,233.8953833549532,1
DOGEUSDT,2025-11-24 20:00:00,2025-11-25 00:00:00,0.15169,0.11032,7727.606395854742,short,319.009068966438,1
DOGEUSDT,2025-11-26 12:00:00,2025-11-26 16:00:00,0.1506,0.11032,9795.878019291644,short,393.7134216065969,1
DOGEUSDT,2025-11-26 20:00:00,2025-11-27 00:00:00,0.15465,0.11032,11957.885420184857,short,529.037705541151,1
DOGEUSDT,2025-12-01 00:00:00,2025-12-01 04:00:00,0.13708,0.11032,17156.93609932654,long,-460.6338125703605,1
DOGEUSDT,2025-12-05 12:00:00,2025-12-05 16:00:00,0.14245,0.11032,13438.19360164156,long,-432.9551616352497,1
DOGEUSDT,2025-12-09 16:00:00,2025-12-09 20:00:00,0.15085,0.11032,9963.296486578409,short,402.9330859063035,1
DOGEUSDT,2025-12-12 16:00:00,2025-12-12 20:00:00,0.13598,0.11032,13466.905303517622,long,-346.7493252827293,1
DOGEUSDT,2025-12-27 04:00:00,2025-12-27 08:00:00,0.12262,0.11032,12692.365418306545,long,-157.23627204752862,1
DOGEUSDT,2025-12-29 04:00:00,2025-12-29 08:00:00,0.12709,0.11032,11070.606571308495,short,184.67702474728617,1
DOGEUSDT,2025-12-29 20:00:00,2025-12-30 00:00:00,0.1228,0.11032,12886.046927178488,long,-161.95513660879266,1
DOGEUSDT,2026-01-06 08:00:00,2026-01-06 12:00:00,0.15038,0.11032,9499.59557706587,short,379.7154025100093,1
DOGEUSDT,2026-01-07 00:00:00,2026-01-07 04:00:00,0.14831,0.11032,12064.45158966809,long,-459.3932761309884,1
DOGEUSDT,2026-01-13 16:00:00,2026-01-13 20:00:00,0.14433,0.11032,9373.34721083098,short,317.96028450892265,1
DOGEUSDT,2026-01-15 04:00:00,2026-01-15 08:00:00,0.1441,0.11032,11484.507100782177,long,-388.96022652310864,1
DOGEUSDT,2026-01-19 00:00:00,2026-01-19 04:00:00,0.12726,0.11032,9254.500198596083,long,-157.58799853374504,1
DOGEUSDT,2026-01-21 12:00:00,2026-01-21 16:00:00,0.1263,0.11032,8992.055894051471,long,-144.48665607192785,1
DOGEUSDT,2026-01-29 04:00:00,2026-01-29 08:00:00,0.12194,0.11032,8187.914844598731,long,-95.8662031067622,1
DOGEUSDT,2026-02-02 16:00:00,2026-02-02 20:00:00,0.10729,0.11032,7694.314201220286,short,-23.9928414238404,1
DOGEUSDT,2026-02-02 20:00:00,2026-02-03 00:00:00,0.10784,0.11032,8202.598700355125,short,-21.06637332777922,1
DOGEUSDT,2026-02-09 08:00:00,2026-02-09 12:00:00,0.09312,0.11032,9284.312598635166,long,158.8707804038198,1
DOGEUSDT,2026-02-09 16:00:00,2026-02-09 20:00:00,0.09632,0.11032,10542.799320686621,long,146.66872519276617,1
DOGEUSDT,2026-02-11 08:00:00,2026-02-11 12:00:00,0.09019,0.11032,12804.276743559854,long,256.62003659958015,1
DOGEUSDT,2026-02-13 12:00:00,2026-02-13 16:00:00,0.09528,0.11032,14678.912198480946,short,-222.06634154014253,1
DOGEUSDT,2026-02-22 00:00:00,2026-02-22 04:00:00,0.09736,0.11032,12198.477093345615,long,157.01567433540885,1
DOGEUSDT,2026-02-27 12:00:00,2026-02-27 16:00:00,0.09399,0.11032,14222.881374899112,long,231.00439823347938,1
DOGEUSDT,2026-03-10 08:00:00,2026-03-10 12:00:00,0.09445,0.11032,16477.107451017182,short,-262.9458988428396,1
DOGEUSDT,2026-03-18 16:00:00,2026-03-18 20:00:00,0.09457,0.11032,13814.784761001114,long,216.36362234190065,1
DOGEUSDT,2026-03-25 00:00:00,2026-03-25 04:00:00,0.09518,0.11032,15885.791511585216,short,-241.91289990104664,1
DOGEUSDT,2026-03-26 12:00:00,2026-03-26 16:00:00,0.09089,0.11032,14107.07867935622,long,272.85550440396617,1
DOGEUSDT,2026-03-28 08:00:00,2026-03-28 12:00:00,0.09131,0.11032,16881.01095554106,long,319.4181677619433,1
DOGEUSDT,2026-04-05 08:00:00,2026-04-05 12:00:00,0.09031,0.11032,20427.996564326215,long,406.9613179873864,1
DOGEUSDT,2026-04-06 00:00:00,2026-04-06 04:00:00,0.09229,0.11032,24178.845181626584,long,433.8106504643778,1
DOGEUSDT,2026-04-10 20:00:00,2026-04-11 00:00:00,0.09367,0.11032,28222.330946444716,short,-472.3926002983139,1
DOGEUSDT,2026-04-11 00:00:00,2026-04-11 04:00:00,0.09363,0.11032,23441.341124319963,short,-393.3048223671681,1
