symbol,entry_time,exit_time,entry_price,exit_price,qty,side,pnl,parts
LINKUSDT,2025-11-26 20:00:00,2025-11-27 00:00:00,13.45,9.709,70.63197026022306,short,263.6855881040893,1
LINKUSDT,2025-12-01 00:00:00,2025-12-01 04:00:00,12.133,9.709,98.94513382501317,long,-240.61153103527752,1
LINKUSDT,2025-12-09 16:00:00,2025-12-09 20:00:00,14.641,9.709,66.3834679472284,short,326.8876502434907,1
LINKUSDT,2025-12-22 20:00:00,2025-12-23 00:00:00,12.577,9.709,101.96896095624449,short,291.6549667089699,1
LINKUSDT,2025-12-29 04:00:00,2025-12-29 08:00:00,12.79,9.709,121.93399846131419,short,374.73156350646025,1
LINKUSDT,2026-01-01 12:00:00,2026-01-01 16:00:00,12.39,9.709,154.60297220753395,long,-415.691400694129,1
LINKUSDT,2026-01-02 04:00:00,2026-01-02 08:00:00,12.838,9.709,118.44710975166873,short,369.7010040221083,1
LINKUSDT,2026-01-06 12:00:00,2026-01-06 16:00:00,13.984,9.709,133.8558315798717,short,571.1939949889044,1
LINKUSDT,2026-01-07 00:00:00,2026-01-07 04:00:00,13.806,9.709,174.88586441057402,short,715.1490130040719,1
LINKUSDT,2026-01-13 16:00:00,2026-01-13 20:00:00,13.683,9.709,226.11019560083705,short,896.8056742064557,1
LINKUSDT,2026-01-19 00:00:00,2026-01-19 04:00:00,12.856,9.709,306.9252642270057,long,-968.277756434691,1
LINKUSDT,2026-01-28 16:00:00,2026-01-28 20:00:00,11.837,9.709,255.63633760998806,long,-545.9797049955389,1
LINKUSDT,2026-02-09 16:00:00,2026-02-09 20:00:00,8.964,9.709,269.29354222019316,long,198.53203215291103,1
LINKUSDT,2026-02-19 12:00:00,2026-02-19 16:00:00,8.438,9.709,319.4941975692027,long,403.5955497790968,1
LINKUSDT,2026-02-22 16:00:00,2026-02-22 20:00:00,8.638,9.709,356.48388647592895,long,379.02536077268394,1
LINKUSDT,2026-03-26 12:00:00,2026-03-26 16:00:00,8.927,9.709,385.27858229115316,long,298.2953155473099,1
LINKUSDT,2026-03-30 04:00:00,2026-03-30 08:00:00,8.74,9.709,425.9453608561863,long,409.4326518628021,1
LINKUSDT,2026-03-30 08:00:00,2026-03-30 12:00:00,8.861,9.709,464.0247684406646,short,-397.0971768191154,1
LINKUSDT,2026-04-11 20:00:00,2026-04-12 00:00:00,9.064,9.709,412.01248402190754,short,-268.9482355600252,1
LINKUSDT,2026-04-12 00:00:00,2026-04-12 04:00:00,8.789,9.709,395.833465854198,short,-367.2413062818448,1
LINKUSDT,2026-04-12 04:00:00,2026-04-12 08:00:00,8.792,9.709,356.01695750964444,long,323.702295123975,1
LINKUSDT,2026-04-27 08:00:00,2026-04-27 12:00:00,9.329,9.709,368.4873267008864,short,-142.8872989102876,1
LINKUSDT,2026-04-28 00:00:00,2026-04-28 04:00:00,9.28,9.709,355.805531985754,long,149.8769604938488,1
LINKUSDT,2026-04-29 16:00:00,2026-04-29 20:00:00,9.009,9.709,382.31307018503196,long,264.6496470507809,1
LINKUSDT,2026-05-04 04:00:00,2026-05-04 08:00:00,9.318,9.709,396.61682914737014,short,-158.1577824319752,1
LINKUSDT,2026-05-14 16:00:00,2026-05-14 20:00:00,10.623,9.709,333.7499501727213,short,302.4551518448856,1
