
============================================================
Тестирование BTCUSDT
============================================================
[BB-Donchian] СИГНАЛ LONG по цене 67044.10, стоп 65619.83, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 65943.80, стоп 65066.23, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 68390.70, стоп 69697.37, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 70385.80, стоп 72059.13, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 71806.10, стоп 72356.20, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 74854.70, стоп 76077.83, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 73845.00, стоп 72868.37, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 70697.80, стоп 69301.77, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 68870.50, стоп 67922.53, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 68181.50, стоп 67178.83, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 68817.50, стоп 67814.83, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 68160.50, стоп 67157.83, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 70518.30, стоп 69215.63, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 70052.70, стоп 69007.50, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 69237.00, стоп 68292.50, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 66667.90, стоп 64849.30, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 66345.40, стоп 67375.17, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 66512.20, стоп 65424.13, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 68244.60, стоп 69127.90, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 66540.00, стоп 65574.13, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 66176.40, стоп 65111.40, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 69002.40, стоп 69852.03, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 68976.50, стоп 68085.60, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 71894.60, стоп 73590.40, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 71255.10, стоп 72950.90, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 72097.20, стоп 73005.33, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 73203.70, стоп 74133.57, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 73658.90, стоп 74466.37, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 73011.60, стоп 73813.43, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 71561.60, стоп 70717.53, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 73275.60, стоп 74274.70, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 74158.00, стоп 73143.73, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 74960.30, стоп 74108.70, риск 3.0%
