symbol,entry_time,exit_time,entry_price,exit_price,qty,side,pnl,parts
APTUSDT,2025-11-28 00:00:00,2025-11-28 04:00:00,2.218,0.9422,189.80691412857985,short,242.01259218564857,1
APTUSDT,2025-12-09 16:00:00,2025-12-09 20:00:00,1.895,0.9422,308.4198626957803,short,293.6299706208339,1
APTUSDT,2025-12-27 04:00:00,2025-12-27 08:00:00,1.696,0.9422,418.43158535967075,short,315.09833205233906,1
APTUSDT,2026-01-01 16:00:00,2026-01-01 20:00:00,1.849,0.9422,596.9794577024969,short,540.8909930085863,1
APTUSDT,2026-01-13 16:00:00,2026-01-13 20:00:00,1.9143,0.9422,577.8733847859721,short,561.3151395079271,1
APTUSDT,2026-01-23 04:00:00,2026-01-23 08:00:00,1.5854,0.9422,1077.87158183549,short,692.4745449530626,1
APTUSDT,2026-01-25 20:00:00,2026-01-26 00:00:00,1.4865,0.9422,940.2189333342623,long,-512.4698648370289,1
APTUSDT,2026-01-29 04:00:00,2026-01-29 08:00:00,1.5572,0.9422,783.170042965307,short,481.05925417207817,1
APTUSDT,2026-02-22 04:00:00,2026-02-22 08:00:00,0.8577,0.9422,2294.549178045514,long,192.1598661564024,1
APTUSDT,2026-03-06 12:00:00,2026-03-06 16:00:00,0.9532,0.9422,1967.64243530618,short,20.160936626331615,1
APTUSDT,2026-03-09 16:00:00,2026-03-09 20:00:00,0.9696,0.9422,1531.3402877345911,short,40.80446082864494,1
APTUSDT,2026-03-30 16:00:00,2026-03-30 20:00:00,0.8936,0.9422,1337.7140071544568,long,64.00458543767398,1
APTUSDT,2026-04-11 04:00:00,2026-04-11 08:00:00,0.8514,0.9422,2462.819325141989,short,-225.4803694174116,1
APTUSDT,2026-04-11 20:00:00,2026-04-12 00:00:00,0.8628,0.9422,2509.3902432228692,short,-201.13706330162756,1
APTUSDT,2026-04-12 04:00:00,2026-04-12 08:00:00,0.8271,0.9422,2336.7695014981405,long,267.20080624298697,1
APTUSDT,2026-04-25 00:00:00,2026-04-25 04:00:00,0.9914,0.9422,1921.5680174592003,short,93.09274535015244,1
APTUSDT,2026-04-27 08:00:00,2026-04-27 12:00:00,0.9574,0.9422,2810.783109382582,long,-44.84255913914344,1
APTUSDT,2026-04-29 04:00:00,2026-04-29 08:00:00,1.0006,0.9422,2698.636552132718,short,155.5662503570149,1
APTUSDT,2026-04-29 16:00:00,2026-04-29 20:00:00,0.9705,0.9422,2488.6817955667475,short,68.55382602431254,1
APTUSDT,2026-05-01 04:00:00,2026-05-01 08:00:00,1.0288,0.9422,1981.05040556706,short,170.06572856840697,1
